ts,v0
2018-07-31T23:45:00-06:00 Denver,336.694 kBTU
2018-08-01T00:00:00-06:00 Denver,336.694 kBTU
2018-08-01T00:15:00-06:00 Denver,336.694 kBTU
2018-08-01T00:30:00-06:00 Denver,336.694 kBTU
2018-08-01T00:45:00-06:00 Denver,336.694 kBTU
2018-08-01T01:00:00-06:00 Denver,336.694 kBTU
2018-08-01T01:15:00-06:00 Denver,336.694 kBTU
2018-08-01T01:30:00-06:00 Denver,336.694 kBTU
2018-08-01T01:45:00-06:00 Denver,336.694 kBTU
2018-08-01T02:00:00-06:00 Denver,336.694 kBTU
2018-08-01T02:15:00-06:00 Denver,336.694 kBTU
2018-08-01T02:30:00-06:00 Denver,336.694 kBTU
2018-08-01T02:45:00-06:00 Denver,336.694 kBTU
2018-08-01T03:00:00-06:00 Denver,336.694 kBTU
2018-08-01T03:15:00-06:00 Denver,336.694 kBTU
2018-08-01T03:30:00-06:00 Denver,336.694 kBTU
2018-08-01T03:45:00-06:00 Denver,336.694 kBTU
2018-08-01T04:00:00-06:00 Denver,336.694 kBTU
2018-08-01T04:15:00-06:00 Denver,336.694 kBTU
2018-08-01T04:30:00-06:00 Denver,336.694 kBTU
2018-08-01T04:45:00-06:00 Denver,336.694 kBTU
2018-08-01T05:00:00-06:00 Denver,336.694 kBTU
2018-08-01T05:15:00-06:00 Denver,336.694 kBTU
2018-08-01T05:30:00-06:00 Denver,336.694 kBTU
2018-08-01T05:45:00-06:00 Denver,336.694 kBTU
2018-08-01T06:00:00-06:00 Denver,336.694 kBTU
2018-08-01T06:15:00-06:00 Denver,336.694 kBTU
2018-08-01T06:30:00-06:00 Denver,336.694 kBTU
2018-08-01T06:45:00-06:00 Denver,336.694 kBTU
2018-08-01T07:00:00-06:00 Denver,336.694 kBTU
2018-08-01T07:15:00-06:00 Denver,336.694 kBTU
2018-08-01T07:30:00-06:00 Denver,336.694 kBTU
2018-08-01T07:45:00-06:00 Denver,336.694 kBTU
2018-08-01T08:00:00-06:00 Denver,336.694 kBTU
2018-08-01T08:15:00-06:00 Denver,336.694 kBTU
2018-08-01T08:30:00-06:00 Denver,336.694 kBTU
2018-08-01T08:45:00-06:00 Denver,336.694 kBTU
2018-08-01T09:00:00-06:00 Denver,336.694 kBTU
2018-08-01T09:15:00-06:00 Denver,336.694 kBTU
2018-08-01T09:30:00-06:00 Denver,336.694 kBTU
2018-08-01T09:45:00-06:00 Denver,336.694 kBTU
2018-08-01T10:00:00-06:00 Denver,336.694 kBTU
2018-08-01T10:15:00-06:00 Denver,336.694 kBTU
2018-08-01T10:30:00-06:00 Denver,336.694 kBTU
2018-08-01T10:45:00-06:00 Denver,336.694 kBTU
2018-08-01T11:00:00-06:00 Denver,336.694 kBTU
2018-08-01T11:15:00-06:00 Denver,336.694 kBTU
2018-08-01T11:30:00-06:00 Denver,336.694 kBTU
2018-08-01T11:45:00-06:00 Denver,336.694 kBTU
2018-08-01T12:00:00-06:00 Denver,336.694 kBTU
2018-08-01T12:15:00-06:00 Denver,336.694 kBTU
2018-08-01T12:30:00-06:00 Denver,336.694 kBTU
2018-08-01T12:45:00-06:00 Denver,336.694 kBTU
2018-08-01T13:00:00-06:00 Denver,336.694 kBTU
2018-08-01T13:15:00-06:00 Denver,336.694 kBTU
2018-08-01T13:30:00-06:00 Denver,336.694 kBTU
2018-08-01T13:45:00-06:00 Denver,336.694 kBTU
2018-08-01T14:00:00-06:00 Denver,336.694 kBTU
2018-08-01T14:15:00-06:00 Denver,336.694 kBTU
2018-08-01T14:30:00-06:00 Denver,336.694 kBTU
2018-08-01T14:45:00-06:00 Denver,336.694 kBTU
2018-08-01T15:00:00-06:00 Denver,336.694 kBTU
2018-08-01T15:15:00-06:00 Denver,336.694 kBTU
2018-08-01T15:30:00-06:00 Denver,336.694 kBTU
2018-08-01T15:45:00-06:00 Denver,336.694 kBTU
2018-08-01T16:00:00-06:00 Denver,336.694 kBTU
2018-08-01T16:15:00-06:00 Denver,336.694 kBTU
2018-08-01T16:30:00-06:00 Denver,336.694 kBTU
2018-08-01T16:45:00-06:00 Denver,336.694 kBTU
2018-08-01T17:00:00-06:00 Denver,336.694 kBTU
2018-08-01T17:15:00-06:00 Denver,336.694 kBTU
2018-08-01T17:30:00-06:00 Denver,336.694 kBTU
2018-08-01T17:45:00-06:00 Denver,336.694 kBTU
2018-08-01T18:00:00-06:00 Denver,336.694 kBTU
2018-08-01T18:15:00-06:00 Denver,336.694 kBTU
2018-08-01T18:30:00-06:00 Denver,336.694 kBTU
2018-08-01T18:45:00-06:00 Denver,336.694 kBTU
2018-08-01T19:00:00-06:00 Denver,336.694 kBTU
2018-08-01T19:15:00-06:00 Denver,336.694 kBTU
2018-08-01T19:30:00-06:00 Denver,336.694 kBTU
2018-08-01T19:45:00-06:00 Denver,336.694 kBTU
2018-08-01T20:00:00-06:00 Denver,336.694 kBTU
2018-08-01T20:15:00-06:00 Denver,336.694 kBTU
2018-08-01T20:30:00-06:00 Denver,336.694 kBTU
2018-08-01T20:45:00-06:00 Denver,336.694 kBTU
2018-08-01T21:00:00-06:00 Denver,336.694 kBTU
2018-08-01T21:15:00-06:00 Denver,336.694 kBTU
2018-08-01T21:30:00-06:00 Denver,336.694 kBTU
2018-08-01T21:45:00-06:00 Denver,336.694 kBTU
2018-08-01T22:00:00-06:00 Denver,336.694 kBTU
2018-08-01T22:15:00-06:00 Denver,336.694 kBTU
